mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
6970,6874,0.0,2.6230001,8.968,19.019,28.327,13.172,2.359,0.016,EZL
6970,6876,0.0,0.19600001,8.882,16.23,6.954,8.949,1.599,0.007,EZL
6970,6877,0.0,1.528,8.431,8.481,6.0290003,2.876,0.345,0.01,EZL
6970,6878,0.0,0.922,24.234001,19.263,22.508,7.046,3.708,0.077,EZL
6970,6879,0.0,2.871,9.378,6.806,9.471,3.576,0.861,0.013,EZL
6970,6881,0.0,6.682,32.58,67.247,52.076,19.806,5.286,0.12,EZL
6970,6883,0.0,2.106,10.406,21.683,19.686,10.979,2.676,1.105,EZL
6970,6886,0.0,7.2000003,35.096,33.264,28.936,10.89,2.208,0.044,EZL
6970,6893,0.0,0.68299997,16.26,13.997,18.409,9.765,2.391,0.098,EZL
6970,6965,0.0,102.914,329.224,184.59,81.564,38.339,17.994,0.0,EZL
7090,560,0.0,1.753,9.099,24.0,17.662,15.873,8.031,0.0,EZL
7090,3087,0.0,13.287001,73.06,114.867004,65.612,48.223,27.111,0.0,EZL
7090,3186,0.0,0.404,2.389,6.113,4.828,2.8509998,3.931,0.0,EZL
7090,3187,0.0,0.196,0.843,12.5,5.525,4.38,2.697,0.0,EZL
7090,3188,0.0,0.527,4.577,6.433,4.706,3.594,1.353,0.0,EZL
7090,3191,0.0,0.019,4.266,6.212,7.649,4.4,5.2469997,0.0,EZL
7090,7091,0.0,46.242,149.039,284.506,155.137,127.291,24.595,0.0,EZL
7091,560,0.0,4.692,37.076,55.417,36.494,41.463,10.274,0.0,EZL
7091,3087,0.0,46.172,277.741,493.897,295.85,180.155,48.575,0.0,EZL
7091,3186,0.0,2.4259999,8.208,25.445,18.873001,9.591,0.913,0.0,EZL
7091,3187,0.0,1.24,3.473,25.942,8.092,13.297,6.45,0.0,EZL
7091,3188,0.0,0.061,9.536,4.921,10.932,8.653,0.817,0.0,EZL
7091,3191,0.0,0.0,0.0,10.463,11.669,6.84,0.004,0.0,EZL
7091,7090,0.0,110.821,193.671,277.231,177.688,85.298996,26.776001,0.0,EZL
