mode_mnlc_o,mode_mnlc_d,1,2,3,4,5,6,7,8,mode
6876,6886,0.0,3.4359999,21.076,71.401,29.237,14.895,5.988,0.025,EZL
6876,6888,0.0,0.368,0.769,2.173,0.709,0.321,0.009,0.0,EZL
6876,6893,0.0,0.433,12.369,31.042,20.146,12.6710005,3.996,0.0,EZL
6876,6965,0.0,106.968,217.062,401.749,155.844,90.251,36.921,0.0,EZL
6876,6970,0.0,0.541,2.768,23.57,10.329,5.142,1.8939999,0.0,EZL
6877,719,0.48,96.54,248.799,837.42,256.014,86.372,22.662,0.0,EZL
6877,6872,0.0,0.224,7.644,20.742,10.423,10.411,3.796,0.004,EZL
6877,6874,0.004,1.569,4.042,11.803,6.309,3.548,1.285,0.0,EZL
6877,6876,0.0,3.115,3.608,9.207,3.987,3.584,2.027,0.0,EZL
6877,6878,0.0,0.173,5.749,11.312,7.548,3.446,1.76,0.0,EZL
6877,6879,0.0,0.0,1.679,6.045,2.63,1.635,2.945,0.001,EZL
6877,6881,0.01,4.835,13.692,31.97,13.611,5.165,2.484,0.0,EZL
6877,6883,0.0,1.105,4.244,12.445,6.676,3.53,2.366,0.0,EZL
6877,6886,0.0,0.668,21.032999,82.953,13.327,6.422,0.758,0.0,EZL
6877,6888,0.0,0.068,5.277,11.212,4.605,3.168,1.19,0.007,EZL
6877,6893,0.0,0.077,3.764,7.737,5.113,4.519,1.187,0.0,EZL
6877,6965,0.065000005,66.624,140.181,413.407,178.725,77.737,8.857,0.0,EZL
6877,6970,0.0,0.516,3.632,7.866,2.982,2.147,2.034,0.0,EZL
6878,719,0.0,346.415,571.021,1061.059,393.738,188.782,47.012,0.0,EZL
6878,6872,0.0,1.974,6.487,9.741,3.709,3.273,1.2360001,0.0,EZL
6878,6874,0.0,0.0,2.294,15.743,7.84,6.804,1.436,0.0,EZL
6878,6876,0.0,3.412,15.731,42.355,16.582,10.662,2.818,0.0,EZL
6878,6877,0.0,0.80799997,5.711,8.594,6.882,3.323,0.726,0.0,EZL
6878,6879,0.0,1.981,3.799,12.977,7.957,3.808,1.2080001,0.0,EZL
6878,6881,0.0,2.52,22.753,109.756996,29.878,15.368,2.9190001,0.0,EZL
6878,6883,0.0,1.7179999,13.339,32.49,17.672,10.328,2.902,0.0,EZL
6878,6886,0.0,4.085,27.381,107.337,29.942999,14.693,3.626,0.0,EZL
6878,6888,0.0,0.334,1.167,3.8930001,1.597,1.113,0.234,0.0,EZL
6878,6893,0.0,0.101,0.751,5.354,4.328,3.483,0.55,0.0,EZL
6878,6965,0.0,164.297,176.103,261.052,112.651,53.506,19.132,0.0,EZL
6878,6970,0.0,1.86,8.09,18.288,9.583,6.43,1.646,0.0,EZL
6879,719,1.419,117.693,269.219,771.789,246.771,93.16,17.66,0.0,EZL
6879,6872,0.0,0.962,16.412,37.271,14.358,8.768,4.229,0.0,EZL
6879,6874,0.003,0.829,5.991,19.346,8.401,5.336,1.405,0.0,EZL
6879,6876,0.0,0.42900002,4.419,13.412,4.646,4.526,1.907,0.0,EZL
6879,6877,0.0,0.042,2.826,5.723,2.839,2.767,0.505,0.0,EZL
6879,6878,0.0,0.33,4.092,13.151999,5.532,4.753,0.779,0.0,EZL
6879,6881,0.003,3.6,18.492,43.995,16.094,8.305,3.3,0.0,EZL
6879,6883,0.0,1.0879999,5.313,15.064,9.004,5.836,1.751,0.0,EZL
6879,6886,0.004,2.782,37.456,162.704,27.508999,11.729,2.793,0.0,EZL
6879,6888,0.0,1.032,4.919,14.83,4.702,2.364,0.684,0.0,EZL
6879,6893,0.0,0.097,2.876,8.335,4.328,3.277,0.48000002,0.0,EZL
6879,6965,0.176,84.363,152.646,366.587,137.355,58.822998,13.142,0.0,EZL
6879,6970,0.0,0.114,2.358,9.272,6.785,2.25,1.606,0.0,EZL
6881,719,0.0,552.05,1147.949,2731.029,1111.442,547.401,131.646,0.0,EZL
6881,6872,0.0,1.766,15.457,31.008999,17.385,5.22,8.713,0.307,EZL
