mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
538,853,0.0,3.3990002,0.479,0.206,0.713,0.35,DLR
538,854,0.0,0.493,3.837,1.48,0.195,0.0,DLR
538,856,0.0,0.22399999,3.192,0.625,0.32,0.0,DLR
538,857,0.0,0.646,1.108,0.56,0.447,0.154,DLR
538,858,0.0,6.296,73.599,25.153,6.688,1.301,DLR
538,860,0.0,5.672,28.699,7.349,4.678,1.193,DLR
538,861,0.0,1.154,4.624,0.891,0.503,0.0,DLR
538,862,0.0,8.243,9.301,4.592,3.033,0.437,DLR
538,864,0.0,3.546,19.638,2.43,1.398,0.321,DLR
538,865,0.0,8.272,21.825,5.234,3.398,1.308,DLR
538,866,0.0,1.095,11.927,1.58,1.5090001,1.706,DLR
538,879,0.0,1.393,18.631,1.8,0.881,0.0,DLR
538,882,0.0,2.35,6.034,2.298,0.931,0.955,DLR
538,883,0.0,2.068,9.076,3.319,2.547,0.51,DLR
538,884,0.0,152.181,665.856,194.757,92.142,21.497,DLR
538,886,0.0,1.196,13.058,2.355,1.7,0.551,DLR
538,887,0.0,0.536,1.035,0.634,0.86800003,0.0,DLR
538,888,0.0,0.18300001,1.28,0.29999998,0.204,0.197,DLR
538,889,0.0,0.443,3.349,1.612,0.26,0.0,DLR
538,890,0.0,0.334,1.274,0.647,0.472,0.46899998,DLR
538,893,0.0,0.213,1.049,0.83100003,0.548,0.0,DLR
538,894,0.0,0.353,3.818,0.448,0.431,0.0,DLR
538,895,0.0,0.18100001,3.942,0.733,0.27,0.0,DLR
538,897,0.0,1.071,4.889,0.616,0.0,0.0,DLR
538,928,0.0,0.082,0.765,0.21000001,0.116000004,0.0,DLR
538,940,0.0,1.449,7.949,3.872,1.901,0.513,DLR
559,504,0.0,5.208,37.079,7.696,2.071,0.719,DLR
559,513,0.0,24.722,76.762,25.726,11.311,5.358,DLR
559,523,0.289,0.038,3.356,3.2089999,3.31,0.916,DLR
559,533,0.0,1.948,8.202,8.994,1.496,0.924,DLR
559,538,0.0,0.24,1.923,1.422,1.625,0.001,DLR
559,573,0.731,10.276,49.059002,25.554,8.7,5.628,DLR
559,719,0.0,26.971,170.078,46.674,23.637,5.535,DLR
559,749,0.0,1.0139999,12.717999,1.518,1.771,0.0,DLR
559,750,0.0,2.309,3.305,1.402,0.013,1.071,DLR
559,757,0.0,11.179,36.238,13.733,10.454,2.366,DLR
559,842,0.0,2.158,23.411,6.939,2.984,0.125,DLR
559,851,0.0,0.85,1.86,1.136,0.872,0.039,DLR
559,853,0.0,1.587,3.153,1.604,0.84000003,0.0,DLR
559,854,0.0,1.674,2.665,0.104,0.0,0.0,DLR
559,858,0.0,5.7,35.661,7.6730003,2.497,0.0,DLR
559,860,0.0,5.201,11.708,5.037,1.866,1.001,DLR
559,862,0.0,3.685,7.329,2.595,1.854,1.116,DLR
559,864,0.0,2.763,10.757,2.417,1.116,0.0,DLR
559,865,0.0,5.482,9.055,3.577,1.021,1.737,DLR
559,866,0.0,0.0,6.143,1.266,0.294,0.0,DLR
559,879,0.0,0.807,7.435,1.45,0.80799997,0.056,DLR
559,882,0.0,1.82,5.313,1.094,0.0,0.0,DLR
559,883,0.0,1.302,5.25,1.725,1.239,0.032,DLR
559,884,0.0,70.213,308.928,102.03,53.317,18.126,DLR
559,886,0.0,0.0,1.492,0.629,0.591,0.062000003,DLR
559,887,0.0,0.0,0.616,0.0,0.0,0.0,DLR
559,888,0.0,0.039,0.552,0.467,0.828,0.0,DLR
559,889,0.0,1.155,1.363,3.277,1.7379999,0.0,DLR
559,895,0.0,0.0,2.853,0.731,0.254,0.0,DLR
559,897,0.0,0.0,3.546,2.094,1.848,0.107,DLR
559,928,0.0,0.061,0.476,0.276,0.082,0.0,DLR
559,940,0.0,0.458,4.297,1.8939999,0.498,0.006,DLR
573,504,1.995,79.711,210.054,51.249,24.266,6.945,DLR
573,513,0.0,269.1,630.068,253.921,114.763,25.051,DLR
573,523,1.1650001,33.562,153.565,64.338,29.819,12.064,DLR
573,533,2.0019999,30.935,194.232,178.073,39.96,7.322,DLR
573,538,1.131,12.052,77.7,38.871,12.33,7.548,DLR
573,559,0.47,19.417,62.998,18.975,7.795,3.9950001,DLR
573,719,39.443,350.637,1095.765,400.585,215.432,46.629,DLR
573,749,2.48,36.182,72.451,33.052002,14.859,3.094,DLR
573,750,1.45,24.351,19.768,9.826,4.742,1.0569999,DLR
573,757,14.022,138.928,377.951,188.46,120.461,26.993,DLR
