name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
940GZZDLBEC,940GZZDLLIM,0,0.821,8.773,17.614,9.573,3.654,42.847,dlr,SUN
940GZZDLBEC,940GZZDLLIM,13.627,46.216,24.926,21.493,9.038,4.811,120.111,dlr,MTT
940GZZDLBEC,940GZZDLMUD,0,1.839,1.055,0.535,0.225,0.451,4.105,dlr,MTT
940GZZDLBEC,940GZZDLPDK,0,0,0.293,4.117,3.307,0.596,8.313,dlr,SUN
940GZZDLBEC,940GZZDLPDK,0.475,1.186,2.043,2.522,2.42,0.382,9.028,dlr,MTT
940GZZDLBEC,940GZZDLPOP,0,2.9120002,5.743,33.751,10.044001,10.796,63.9780012,dlr,SUN
940GZZDLBEC,940GZZDLPOP,8.907,26.223,32.35,25.555,13.295,2.746,109.076,dlr,MTT
940GZZDLBEC,940GZZDLPRE,0,0.443,5.756,26.818,11.322,2.683,47.022,dlr,SUN
940GZZDLBEC,940GZZDLPRE,2.216,16.014,21.91,15.004,5.426,1.921,62.491,dlr,MTT
940GZZDLBEC,940GZZDLPUD,0.871,1.202,0.959,0.117,0,0,3.149,dlr,MTT
940GZZDLBEC,940GZZDLRAL,0,0.092,2.886,10.287,4.715,2.214,20.837,dlr,SUN
940GZZDLBEC,940GZZDLRAL,10.218,20.489,18.139,6.167,1.636,1.6919999,58.3409999,dlr,MTT
940GZZDLBEC,940GZZDLRVC,0,0.168,5.726,80.737,22.514,6.1549997,115.5749997,dlr,SUN
940GZZDLBEC,940GZZDLRVC,2.728,27.374,60.047,22.894001,10.59,3.516,127.149001,dlr,MTT
940GZZDLBEC,940GZZDLSHA,0,0.539,15.509,32.268,12.835,10,72.382,dlr,SUN
940GZZDLBEC,940GZZDLSHA,23.246,90.127,37.344,25.313,20.995,0.805,197.83,dlr,MTT
940GZZDLBEC,940GZZDLSHS,0,0,1.359,4.3129997,2.305,0.037,8.6849997,dlr,SUN
940GZZDLBEC,940GZZDLSHS,0.514,2.495,4.633,1.621,0,0,9.263,dlr,MTT
940GZZDLBEC,940GZZDLSIT,0,0.13,0.856,9.13,4.299,1.57,15.985,dlr,SUN
940GZZDLBEC,940GZZDLSIT,2.99,12.011,10.183,6.0099998,0.96000004,0.527,32.68099984,dlr,MTT
940GZZDLBEC,940GZZDLSOQ,0,0.471,7.671,5.778,1.95,0.432,16.302,dlr,SUN
940GZZDLBEC,940GZZDLSOQ,8.148,28.659,7.198,1.169,0.772,0,45.946,dlr,MTT
940GZZDLBEC,940GZZDLSTD,0,2.713,0.542,9.369,3.701,1.247,17.572,dlr,SUN
940GZZDLBEC,940GZZDLSTD,5.611,0.755,5.628,3.447,0.221,0,15.662,dlr,MTT
940GZZDLBEC,940GZZDLSTL,0,0,0.398,2.522,2.628,0.723,6.271,dlr,SUN
940GZZDLBEC,940GZZDLSTL,2.058,2.657,3.325,3.701,0.336,0,12.077,dlr,MTT
940GZZDLBEC,940GZZDLTWG,0,3.708,25.925,55.487,19.144001,5.017,111.673001,dlr,SUN
940GZZDLBEC,940GZZDLTWG,60.283,131.878,55.467,31.287,9.178,2.354,290.447,dlr,MTT
940GZZDLBEC,940GZZDLWFE,0,0.407,6.8859997,14.201,6.711,3.169,31.9309997,dlr,SUN
940GZZDLBEC,940GZZDLWFE,0.96000004,12.212,18.417,7.866,4.955,0.194,44.60400004,dlr,MTT
940GZZDLBEC,940GZZDLWHM,0,0,0.033,2.41,1.256,0.096,3.795,dlr,SUN
940GZZDLBEC,940GZZDLWHM,0.026,0,0.514,0,0.08,0,0.62,dlr,MTT
940GZZDLBEC,940GZZDLWIQ,0,0,0.667,3.286,4.8519998,0,8.8049998,dlr,SUN
940GZZDLBEC,940GZZDLWIQ,0.441,1.155,7.543,1.226,0.508,0,10.873,dlr,MTT
940GZZDLBEC,940GZZDLWLA,0,0.556,4.946,17.949,7.634,3.859,35.577,dlr,SUN
940GZZDLBEC,940GZZDLWLA,16.696,15.129,13.219,9.417,12.399,2.506,69.366,dlr,MTT
940GZZDLBEC,940GZZDLWSV,0,0,0.175,2.397,1.032,0.017,3.621,dlr,SUN
940GZZDLBEC,940GZZDLWSV,0.976,5.659,2.727,2.449,0.489,0.264,12.564,dlr,MTT
940GZZDLBLA,940GZZDLABR,0,0,0.71099997,4.044,0.396,0.298,5.44899997,dlr,MTT
940GZZDLBLA,940GZZDLBEC,0,0.508,0.921,8.26,2.05,1.8610001,13.6420001,dlr,SUN
940GZZDLBLA,940GZZDLBEC,0.109000005,10.923,8.589,16.187,5.511,1.018,42.33700001,dlr,MTT
940GZZDLBLA,940GZZDLBNK,0,2.891,66.435,262.455,81.371,40.248,465.956,dlr,SUN
940GZZDLBLA,940GZZDLBNK,48.826,537.373,218.954,165.197,38.727,15.043,1024.12,dlr,MTT
940GZZDLBLA,940GZZDLBOW,0,0,1.248,3.011,1.68,0,6.195,dlr,SUN
940GZZDLBLA,940GZZDLBOW,0.561,1.099,12.217,7.606,1.164,0.646,23.293,dlr,MTT
940GZZDLBLA,940GZZDLBPK,0,0,0.511,1.681,1.573,1.108,4.873,dlr,SUN
940GZZDLBLA,940GZZDLBPK,0,1.957,0.452,4.49,1.016,0,7.915,dlr,MTT
940GZZDLBLA,940GZZDLCAN,0,0,2.96,37.365,7.508,1.534,50.589,dlr,SUN
940GZZDLBLA,940GZZDLCAN,0.103,4.595,22.762,31.348999,6.577,1.844,67.229999,dlr,MTT
940GZZDLBLA,940GZZDLCGT,0,0.184,52.583,215.065,79.169,46.325,415.615,dlr,SUN
940GZZDLBLA,940GZZDLCGT,13.984,96.578,122.718,131.452,55.243,26.318,446.293,dlr,MTT
940GZZDLBLA,940GZZDLCLA,0,0.442,2.527,2.493,1.469,0.721,7.652,dlr,MTT
940GZZDLBLA,940GZZDLCUS,0,0,0.82199997,2.918,3.789,0.41,8.54799994,dlr,SUN
940GZZDLBLA,940GZZDLCUS,0.107,2.713,2.676,4.948,2.438,0.277,13.159,dlr,MTT
940GZZDLBLA,940GZZDLCUT,0,0,1.52,10.444,1.128,0.703,13.795,dlr,SUN
940GZZDLBLA,940GZZDLCUT,0,1.735,7.274,6.421,1.373,0.559,17.362,dlr,MTT
940GZZDLBLA,940GZZDLCYP,0,0,0.27199998,1.769,0.711,0.281,3.83399998,dlr,SUN
940GZZDLBLA,940GZZDLCYP,0,5.781,5.828,3.95,0.437,1.317,17.313,dlr,MTT
940GZZDLBLA,940GZZDLDEP,0,0,1.621,2.532,2.686,0.71,7.549,dlr,SUN
940GZZDLBLA,940GZZDLDEP,0,0.232,2.667,2.348,1.096,1.758,8.101,dlr,MTT
940GZZDLBLA,940GZZDLDEV,0,0,0.54,1.349,0.355,0.189,2.623,dlr,SUN
940GZZDLBLA,940GZZDLDEV,0,0.83500004,3.1230001,2.743,0.473,0.792,7.96600014,dlr,MTT
940GZZDLBLA,940GZZDLEIN,0,0,0.265,1.9200001,2.155,1.239,5.5790001,dlr,SUN
940GZZDLBLA,940GZZDLEIN,0,0.592,3.005,1.502,0.902,0.726,6.727,dlr,MTT
940GZZDLBLA,940GZZDLGAL,0,0.162,0.97900003,6.164,1.403,1.921,10.62900003,dlr,SUN
940GZZDLBLA,940GZZDLGAL,0.364,5.5,3.278,2.978,0.348,1.005,13.473,dlr,MTT
940GZZDLBLA,940GZZDLGRE,0,0,0,0.895,0.23200001,0,1.12700001,dlr,SUN
940GZZDLBLA,940GZZDLGRE,0,0.43400002,0.814,0.502,0.083000004,0,1.833000024,dlr,MTT
940GZZDLBLA,940GZZDLKGV,0,1.823,0.829,3.063,1.772,0,7.487,dlr,MTT
940GZZDLBLA,940GZZDLLCA,0,0,0.407,6.171,11.606,1.976,20.16,dlr,SUN
940GZZDLBLA,940GZZDLLCA,5.209,9.667,5.853,7.886,0.969,0,29.584,dlr,MTT
940GZZDLBLA,940GZZDLLDP,0,0.787,3.67,0.686,0.202,0.128,5.473,dlr,MTT
940GZZDLBLA,940GZZDLLEW,0,0,0.806,8.63,3.252,2.002,15.203,dlr,SUN
940GZZDLBLA,940GZZDLLEW,1.826,3.357,6.4900002,45.899002,3.489,0.425,61.4860022,dlr,MTT
940GZZDLBLA,940GZZDLLIM,0,0.819,4.56,19.058,6.111,2.947,34.8690001,dlr,SUN
940GZZDLBLA,940GZZDLLIM,2.86,24.25,34.682,52.033,6.241,2.211,122.277,dlr,MTT
940GZZDLBLA,940GZZDLPDK,0,0,0.675,3.468,2.963,1.721,9.956,dlr,SUN
940GZZDLBLA,940GZZDLPDK,0.83,2.785,3.005,3.252,2.232,1.654,13.758,dlr,MTT
940GZZDLBLA,940GZZDLPOP,0,0,2.0609999,15.6,5.925,3.586,31.3169999,dlr,SUN
940GZZDLBLA,940GZZDLPOP,0.64,0.936,16.181,27.675,8.998,2.533,56.963,dlr,MTT
940GZZDLBLA,940GZZDLPRE,0,0.155,1.609,4.692,2.955,1.2590001,11.8420001,dlr,SUN
940GZZDLBLA,940GZZDLPRE,0.585,5.882,2.326,6.975,1.355,1.574,18.697,dlr,MTT
940GZZDLBLA,940GZZDLRAL,0,0,3.02,5.834,1.919,1.23,12.678,dlr,SUN
940GZZDLBLA,940GZZDLRAL,0.888,1.0320001,4.508,2.174,1.047,0.202,9.8510001,dlr,MTT
940GZZDLBLA,940GZZDLRVC,0,0,2.725,18.608,6.932,4.795,36.433,dlr,SUN
940GZZDLBLA,940GZZDLRVC,0.365,6.938,8.509,8.93,3.879,1.433,30.054,dlr,MTT
940GZZDLBLA,940GZZDLSHA,0,0.113,9.464,45.616,13.323,10.038,81.895,dlr,SUN
940GZZDLBLA,940GZZDLSHA,1.369,69.224,67.895,75.874,21.601,4.013,239.976,dlr,MTT
940GZZDLBLA,940GZZDLSHS,0,1.884,0.828,1.138,0,0.317,4.167,dlr,MTT
