name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
910GACTNCTL,910GSKENTON,0,0,0.057,0.572,0.621,0.23900001,1.53400001,overground,SUN
910GACTNCTL,910GSKENTON,0.174,0.689,1.8449999,3.712,1.7870001,0.001,8.208,overground,MTT
910GACTNCTL,910GSTNBGPK,0,0,0,0.79800004,0.615,0.25,1.66300004,overground,SUN
910GACTNCTL,910GSTNBGPK,0,0.63699996,1.268,2.476,0.731,0.034,5.14599996,overground,MTT
910GACTNCTL,910GSTOTNHM,0,0,0,2.557,0.876,0.844,4.78899996,overground,SUN
910GACTNCTL,910GSTOTNHM,0.056,0.583,2.185,2.718,0.34800002,0.006,5.89600002,overground,MTT
910GACTNCTL,910GSURREYQ,0,0,0.02,0.47100002,0.189,0,0.68000002,overground,SUN
910GACTNCTL,910GSURREYQ,0.09,0.245,0.121,0.478,0.082,0.08,1.096,overground,MTT
910GACTNCTL,910GUPRHLWY,0,0,0.464,3.881,3.684,4.3910003,13.05200027,overground,SUN
910GACTNCTL,910GUPRHLWY,1.02,4.184,3.211,4.096,2.798,1.2969999,16.6059999,overground,MTT
910GACTNCTL,910GWATFDHS,0,0,0.28,1.757,1.166,0.45499998,3.79999997,overground,SUN
910GACTNCTL,910GWATFDHS,1.645,3.368,3.017,3.2189999,0.63,0.005,11.8839999,overground,MTT
910GACTNCTL,910GWATFDJ,0,0,0.703,5.104,1.481,0.622,7.911,overground,SUN
910GACTNCTL,910GWATFDJ,6.841,5.024,3.721,7.994,1.69,0.247,25.517,overground,MTT
910GACTNCTL,910GWCHAPEL,0.999,1.648,0.584,0.83500004,0.278,0.806,5.15000004,overground,MTT
910GACTNCTL,910GWDGRNPK,0.013,0.371,0.431,1.598,0.264,0.015000001,2.692000001,overground,MTT
910GACTNCTL,910GWHHRTLA,0.252,0.023,0.256,0,0.263,0.017,0.811,overground,MTT
910GACTNCTL,910GWHMDSTD,0,0,5.563,29.352,12.577,6.231,54.683,overground,SUN
910GACTNCTL,910GWHMDSTD,15.692,141.546,44.77,32.545,7.919,2.164,244.636,overground,MTT
910GACTNCTL,910GWLSDJHL,0,0,8.814,78.213,39.871,11.277,142.814,overground,SUN
910GACTNCTL,910GWLSDJHL,16.41,90.45,97.876,70.668,21.42,5.945,302.769,overground,MTT
910GACTNCTL,910GWMBY,0,0,0.243,4.277,1.2179999,0.277,6.1869999,overground,SUN
910GACTNCTL,910GWMBY,5.409,1.9890001,5.148,9.394,3.912,0.099,25.9510001,overground,MTT
910GACTNCTL,910GWNSTDPK,0,0,0,0.62299997,1.521,0,2.14399997,overground,SUN
910GANERLEY,910GBROCKLY,0,0.018,1.382,8.25,7.671,6.327,25.302,overground,SUN
910GANERLEY,910GBROCKLY,0.38300002,4.2269998,3.95,2.972,1.763,0.058,13.35299982,overground,MTT
910GANERLEY,910GCLPHMJC,0,0,0,0,0,0.414,0.696,overground,SUN
910GANERLEY,910GCMDNRD,1.443,2.861,0.855,0.693,0,0,5.852,overground,MTT
910GANERLEY,910GCNDAW,0,1.124,61.916,199.21,97.066,33.124,404.324,overground,SUN
910GANERLEY,910GCNDAW,107.588,245.685,148.614,91.557,20.484,2.255,616.183,overground,MTT
910GANERLEY,910GCNNB,0,0.043,1.429,2.941,0,0,4.413,overground,SUN
910GANERLEY,910GCNNB,0.59900004,1.331,3.588,0.56,0.263,0,6.34100004,overground,MTT
910GANERLEY,910GDALS,0,0.076,4.585,17.932,10.058,6.768,41.146,overground,SUN
910GANERLEY,910GDALS,3.412,5.008,5.932,5.368,2.014,0.424,22.158,overground,MTT
910GANERLEY,910GDENMRKH,0.205,1.5569999,0.82600003,0.189,0.504,0,3.28099993,overground,MTT
910GANERLEY,910GFORESTH,0,0.01,1.402,7.466,3.556,1.1769999,13.7279999,overground,SUN
910GANERLEY,910GFORESTH,0.35999998,6.474,7.766,3.146,1.583,0.236,19.56499998,overground,MTT
910GANERLEY,910GHACKNYW,0.456,1.6029999,0.587,0.135,0,0,2.7809999,overground,MTT
910GANERLEY,910GHAGGERS,0,0.025,1.1999999,4.583,5.705,1.179,12.6919999,overground,SUN
910GANERLEY,910GHAGGERS,1.029,2.179,3.074,0.43,0.555,0.18900001,7.45600001,overground,MTT
910GANERLEY,910GHGHI,0,0.5,8.853,14.032001,0,0,23.385001,overground,SUN
910GANERLEY,910GHGHI,14.383,21.158,11.011,11.044,3.017,0.185,60.798,overground,MTT
