name_o,name_d,Early,AM Peak,Midday,PM Peak,Evening,Late,Total,mode,day
910GWLTWCEN,910GACTNCTL,0.006,0,0,0,0,0,0.006,overground,MTT
910GWMBY,910GACTNCTL,0,0,0.21200001,1491,1425,0.497,375400001,overground,SUN
910GWMBY,910GACTNCTL,0.263,4134,8841,4186,2537,0.807,20768,overground,MTT
910GBROCKLY,910GANERLEY,0,0,2266,13.14,8717,4163,29002,overground,SUN
910GBROCKLY,910GANERLEY,1085,8488,6527,6014,24950001,0.223,248320001,overground,MTT
910GCLPHMJC,910GANERLEY,0,0,0,0.864,0.676,0.353,1934,overground,SUN
910GCLPHMJC,910GANERLEY,0,0.013,0.013,0,0,0,0.026,overground,MTT
910GCMDNRD,910GANERLEY,0,0.003,1925,2.91,1121,0.112,6071,overground,MTT
910GCNDAW,910GANERLEY,0,0.020000001,11565,122.64,163.26,103025,423506,overground,SUN
910GCNDAW,910GANERLEY,7971,43393,106632,225444,140263,38983,562686,overground,MTT
910GCNNB,910GANERLEY,0,0.183,1344,3645,0,0,6923,overground,SUN
910GCNNB,910GANERLEY,0,0.84599996,1457,3246,1122,0.154,682499996,overground,MTT
910GDALS,910GANERLEY,0,0.022,2685,15907,9133,8081,39624,overground,SUN
910GDALS,910GANERLEY,1141,4497,69179997,12387,6254,2062,332589997,overground,MTT
910GDALSKLD,910GANERLEY,0,0,0,0,0,0.047,0.047,overground,MTT
910GDENMRKH,910GANERLEY,0,0.254,1047,12360001,0.912,0,34490001,overground,MTT
910GFORESTH,910GANERLEY,0,0,0.638,9943,56940002,2439,190230002,overground,SUN
910GFORESTH,910GANERLEY,0.019000001,6984,10283999,7.62,23999999,0.283,275899989,overground,MTT
910GHACKNYC,910GANERLEY,0,0,1417,2185,0.504,0.097,4203,overground,MTT
910GHAGGERS,910GANERLEY,0,0.014,0.787,5914,3918,3853,1493399998,overground,SUN
910GHAGGERS,910GANERLEY,0.46499997,1632,1.78,4922,1745,0.63,1117399997,overground,MTT
910GHGHI,910GANERLEY,0,0.025,2866,5209,0,0,9572,overground,SUN
910GHGHI,910GANERLEY,39190001,9448,10984,25814,14449,2587,672010001,overground,MTT
910GHMPSTDH,910GANERLEY,0.997,1747,0.94699997,1229,0.72900003,0.010000001,5659000001,overground,MTT
910GHOMRTON,910GANERLEY,0.080000006,2249,0.75,0.962,1.09,0.24,5371000006,overground,MTT
910GHONROPK,910GANERLEY,0,0,0.833,10094,5734,1615,18276,overground,SUN
910GHONROPK,910GANERLEY,0.491,3121,3559,4222,2343,0.489,14225,overground,MTT
910GHOXTON,910GANERLEY,0,0.001,0.34199998,6019,3763,2391,1292899998,overground,SUN
910GHOXTON,910GANERLEY,0,2871,4254,11596,5101,1135,24957,overground,MTT
910GNEWXGTE,910GANERLEY,0,0,0.995,12.69,11307,9.77,36847,overground,SUN
910GNEWXGTE,910GANERLEY,1175,9727,18258,16487,10750999,2737,59134999,overground,MTT
910GNORWDJ,910GANERLEY,0,0.001,1221,10017,6.08,4201,2191499998,overground,SUN
910GNORWDJ,910GANERLEY,0.102,8.67,12046,5.81,3418,0.591,30637,overground,MTT
910GRTHERHI,910GANERLEY,0,0,0.561,2515,2677,1001,7301,overground,SUN
910GRTHERHI,910GANERLEY,0.268,0.243,4.13,2773,0.35300002,0.134,790100002,overground,MTT
910GSHADWEL,910GANERLEY,0,0.001,2079,9197,66080003,79519997,27424,overground,SUN
910GSHADWEL,910GANERLEY,0.55,3634,6698,30147,10273,2307,53609,overground,MTT
910GSHRDHST,910GANERLEY,0,0.019,1409,27505001,37736,21785,95103001,overground,SUN
910GSHRDHST,910GANERLEY,2.56,1451,14.69,84211,35277,7061,145.25,overground,MTT
910GSURREYQ,910GANERLEY,0,0,0.699,3963,2004,0.60899997,758199995,overground,SUN
910GSURREYQ,910GANERLEY,0.033,6541,1443,0.851,0.725,0.15,9743,overground,MTT
910GSYDENHM,910GANERLEY,0,0,0.649,7448,4458,3002,18084,overground,SUN
910GSYDENHM,910GANERLEY,0.84099996,6811,7553,10367,7103,0.888,3356299996,overground,MTT
910GWAPPING,910GANERLEY,0,0.001,1759,2702,1888,1972,8.73,overground,SUN
910GWAPPING,910GANERLEY,0,2168,2508,6285,2897,0.527,14385,overground,MTT
910GWCHAPEL,910GANERLEY,0,0.029000001,4764,21326,22797,19421,71413,overground,SUN
910GWCHAPEL,910GANERLEY,65629997,23885,30517,58256,33468,7.11,1597989997,overground,MTT
910GWCROYDN,910GANERLEY,0,0.005,4791,73129,55.73,21884,157366,overground,SUN
910GWCROYDN,910GANERLEY,1254,36632,82121,147201,40838,11313,319359,overground,MTT
910GACTNCTL,910GBARKING,0,0,0,0.967,1222,0.723,3388,overground,SUN
910GACTNCTL,910GBARKING,0.724,0.646,1021,0.724,0.277,0.811,4203,overground,MTT
910GBHILLPK,910GBARKING,0,0,0.25,1204,1069,1266,3791,overground,SUN
910GBHILLPK,910GBARKING,0,2058,1568,2085,0.701,0.004,6416,overground,MTT
910GBLCHSRD,910GBARKING,0,0,38653,238763,135251,101671,537.1,overground,SUN
910GBLCHSRD,910GBARKING,54868,214819,230095,418339,145147,41613,1104881,overground,MTT
910GBRBY,910GBARKING,0,0,0.708,2459,1691,1.73,695299998,overground,SUN
910GBRBY,910GBARKING,26469998,2.84,2723,7383,2835,0.628,190559998,overground,MTT
910GBRBYPK,910GBARKING,0,0,0.447,1003,0.957,0.429,2.85,overground,SUN
910GBRBYPK,910GBARKING,0.002,0.496,1.99,5156,0.706,0.027,8377,overground,MTT
910GBRUCGRV,910GBARKING,0,0,0.192,0.478,0.32,0.204,1202,overground,SUN
910GBUSHYDC,910GBARKING,0.036,0.077,0,0,0,0,0.113,overground,MTT
910GCHESHNT,910GBARKING,0,0,0.020000001,0.145,0.034,0.133,0.332000001,overground,SUN
910GCHESHNT,910GBARKING,0.013,0.062,0.31,0.089,0.062000003,0.006,0.542000003,overground,MTT
910GCHINGFD,910GBARKING,0,0,0.25800002,0.328,0.030000001,0.08,0.696000021,overground,SUN
910GCHINGFD,910GBARKING,0.802,3896,2.24,0.368,1249,0.272,8827,overground,MTT
910GCLAPTON,910GBARKING,0,0,0.017,0.08,0.008,0.054,0.226999996,overground,SUN
910GCLAPTON,910GBARKING,0.158,1019,1474,0.72,0.433,0.059,3863,overground,MTT
910GCLDNNRB,910GBARKING,0,0,0,0.19600001,0.089,0.087,0.37200001,overground,SUN
910GCLDNNRB,910GBARKING,0.118,0.347,1132,6049,12969999,0.584,95269999,overground,MTT
910GCMDNRD,910GBARKING,0,0,0.039,0.938,1301,1678,4181,overground,SUN
