Day-id_o_id_d;Early;Morning;AM Peak;Midday;PM Peak;Evening;Late;Night;Total
MTT-3_253;0;0;2;1;8;4;0;0;15.657
MTT-3_254;0;4;9;4;1;1;2;0;21.705
MTT-3_257;0;3.16;4;4;1;0;0;0;12.282
MTT-3_259;0;1;1;1;1;0;0;0;3.573
MTT-3_263;0;25;38;14;10;2;0;0;89.543
MTT-3_262;0;0.503;1;1;0;0;0;0;2.444
MTT-3_264;0;0.373;1;3;7;1;0;0;12.25
MTT-3_197;0;0;1;1;1;0.18;0;0;3.664
MTT-3_175;0;0.186;3;1;1;0;0;0;5.036
MTT-3_238;0;8;6;2;2;1;0;0;20.855
MTT-3_29;0;0.398;4;4;6;3;0;0;17.28
MTT-3_101;0;14;37;15;14;7;2;0;88.94
MTT-3_103;0;18;14;35;9;6;0.15100001;0;80.93500001
MTT-3_147;0;3;5;9;5;2;0;0;23.205
MTT-3_102;0;6;7;19;5;5;0;0;42.3860003
MTT-3_209;0;0;6;3;1;0.017;0;0;10.641
MTT-3_19;0;0.904;2;1;1;0;0;0;3.922
MTT-3_35;0;0;3;2;2;1;1;0;9.051
MTT-3_156;0;1;3;3;4;0.806;0.145;0;11.024
MTT-3_36;0;2;8;2;3;0;0;0;15.13199991
MTT-3_37;0;4.45;4;2;5;2;0;0;17.994
MTT-4_0;0;1;2;0;0;0;0.007;0;3.895
MTT-4_12;0;14;41;5;1;0;0;0;62.0769995
MTT-4_2;0;18;42;5;1;0.253;0;0;66.51200003
MTT-4_1;0;0.619;1;1;0;0;0;0;2.614
MTT-4_3;0;0;0;0;0;0;0;0;1.54000001
MTT-4_5;0;0.84900004;3;1;1;0;0;0;5.76300004
MTT-4_6;0;0;2;1;0;0.111;0;0;3.181
MTT-4_8;0;0;0.593;0;0.386;0.016;0;0;1.384
MTT-4_9;0;9;21;5;5;0;0.121;0;40.560001
MTT-4_11;0;13.8;15;4;3;0;0;0;35.40799999
MTT-4_13;0;0.041;1;0;0.469;0;0;0;2.240000001
MTT-4_15;0;0;1;0;0.095;0;0;0;1.486
MTT-4_20;0;1;2;1;0.437;0;0;0;4.566
MTT-4_21;0;1;3;1;0.23;0.001;0;0;5.05
MTT-4_23;0;5;12;5;3;0;0;0;25.997
MTT-4_24;0;2;1;0;0;0.004;0;0;3.04100002
MTT-4_33;0;0.201;2;0;0.179;0;0;0;2.288
