Day-id_o_id_d;Early;Morning;AM Peak;Midday;PM Peak;Evening;Late;Night;Total
FRI-3_5;6.83;30.253;7.382;3.9060001;2.463;0;0;0;50.8340001
SUN-3_6;0.187;0.42;2.985;1.833;0.462;0.412;0;0;6.299
SAT-3_6;0.182;0.595;2.337;1.161;0.462;0;0;0;4.737
MTT-3_6;3.619;2.13;4.882;4.474;2.958;0;0;0;18.063
FRI-3_6;1.207;3.225;4.639;5.098;1.709;1.542;0;0;17.42
SUN-3_7;0.87;6.203;20.904;7.072;1.6;1.954;0;0;38.603
SAT-3_7;5.3469996;8.309;19.701;11.2560005;0.502;0;0;0;45.1150001
MTT-3_7;10.56;24.491;10.19;22.612;1.773;0;0;0;69.626
FRI-3_7;10.752;29.314;11.029;21.903;2.906;0;0;0;75.904
SUN-3_8;24.311;185.534;617.436;198.217;89.927;19.725;0;0;1135.15
SAT-3_8;132.744;218.102;547.816;225.719;131.428;40.603;0;0;1296.412
MTT-3_8;275.955;502.221;482.74;259.538;128.077;30.172;0;0;1678.703
FRI-3_8;238.952;456.503;501.702;283.932;156.222;40.527;0;0;1677.838
SUN-3_9;0;2.491;2.971;1.247;0.219;0;0;0;6.928
SAT-3_9;0.842;3.316;4.424;2.864;0.342;0.819;0;0;12.607
MTT-3_9;1.855;8.305;6.623;1.883;0.901;0.745;0;0;20.312
FRI-3_9;2.4160001;7.091;6.2400002;3.338;0.69;0;0;0;19.7750003
SUN-3_10;0.479;4.001;15.733;8.804;3.504;1.119;0;0;33.64
SAT-3_10;0.975;5.871;13.065;14.563;10.564;4.914;0;0;49.952
MTT-3_10;1.4269999;8.072;16.071;19.417;8.142;0.228;0;0;53.3569999
FRI-3_10;1.51;7.281;17.27;19.853;12.655001;2.47;0;0;61.039001
SUN-3_11;0.152;2.18;10.1;1.068;0.219;0.39;0;0;14.109
SAT-3_11;0;2.813;8.902;1.067;0.288;0;0;0;13.07
MTT-3_11;1.371;10.997;13.912;3.781;0.671;0.556;0;0;31.288
