,Tube Line,From Station,To Station,Distance km
399,Metropolitan,barbican,farringdon,0.492893338
400,Metropolitan,chalfont-and-latimer,amersham,3.210437766
401,Metropolitan,chalfont-and-latimer,chesham,5.425271431
402,Metropolitan,chorleywood,chalfont-and-latimer,3.316034835
403,Metropolitan,croxley,watford,2.051849902
404,Metropolitan,eastcote,ruislip-manor,1.160280642
405,Metropolitan,euston-square,great-portland-street,0.915858804
406,Metropolitan,farringdon,kings-cross-st-pancras,1.732182174
407,Metropolitan,finchley-road,wembley-park,7.093401465
408,Metropolitan,great-portland-street,baker-street,0.898720234
409,Metropolitan,harrow-on-the-hill,north-harrow,1.865108843
410,Metropolitan,harrow-on-the-hill,west-harrow,1.165513022
411,Metropolitan,hillingdon,uxbridge,2.050304589
412,Metropolitan,ickenham,hillingdon,0.972329114
413,Metropolitan,kings-cross-st-pancras,euston-square,0.677416528
414,Metropolitan,liverpool-street,moorgate,0.477652791
415,Metropolitan,moor-park,croxley,1.991710599
416,Metropolitan,moor-park,rickmansworth,3.042847879
417,Metropolitan,moorgate,barbican,0.634057561
418,Metropolitan,north-harrow,pinner,1.545951164
419,Metropolitan,northwick-park,harrow-on-the-hill,1.30332005
420,Metropolitan,northwood,moor-park,2.174182939
421,Metropolitan,northwood-hills,northwood,1.532318632
422,Metropolitan,pinner,northwood-hills,2.155900339
423,Metropolitan,preston-road,northwick-park,1.756609499
424,Metropolitan,rickmansworth,chorleywood,3.449862518
425,Metropolitan,ruislip,ickenham,1.889119735
426,Metropolitan,ruislip-manor,ruislip,0.597191725
427,Metropolitan,wembley-park,preston-road,1.461754663
428,Metropolitan,west-harrow,eastcote,2.982412928
429,Northern,angel,kings-cross-st-pancras,1.299619095
430,Northern,archway,highgate,1.579624345
431,Northern,balham,clapham-south,1.105149004
432,Northern,bank,moorgate,0.566169689
433,Northern,belsize-park,hampstead,1.200847665
434,Northern,borough,london-bridge,0.695923807
435,Northern,brent-cross,hendon-central,1.177216606
436,Northern,burnt-oak,edgware,1.496637712
437,Northern,camden-town,chalk-farm,0.908368489
438,Northern,camden-town,kentish-town,1.125143317
439,Northern,chalk-farm,belsize-park,0.976451539
440,Northern,charing-cross,leicester-square,0.403836065
441,Northern,clapham-common,clapham-north,0.677564122
442,Northern,clapham-north,stockwell,0.942665634
443,Northern,clapham-south,clapham-common,1.216450516
444,Northern,colindale,burnt-oak,1.266727799
445,Northern,colliers-wood,tooting-broadway,1.103148703
446,Northern,east-finchley,finchley-central,2.480001309
447,Northern,east-finchley,mill-hill-east,3.896194569
448,Northern,elephant-and-castle,borough,0.734604547
449,Northern,embankment,charing-cross,0.204870249
450,Northern,euston,camden-town,1.408017849
451,Northern,euston,mornington-crescent,0.737408451
452,Northern,finchley-central,west-finchley,0.976195408
453,Northern,golders-green,brent-cross,1.368770155
454,Northern,goodge-street,warren-street,0.502376912
455,Northern,hampstead,golders-green,2.095632599
456,Northern,hendon-central,colindale,2.111878946
457,Northern,highgate,east-finchley,1.63579796
458,Northern,kennington,elephant-and-castle,0.853839352
459,Northern,kennington,nine-elms,1.887327238
460,Northern,kennington,waterloo,1.707952718
