Mode,Segment,Distress
overground,"(60, 4)",0.521827425815598
overground,"(1, 67)",0.29496073317700106
overground,"(67, 90)",0.4074477842721103
overground,"(90, 32)",0.428040721638521
overground,"(32, 47)",0.44720798802429934
overground,"(47, 3)",0.5422593571309962
overground,"(23, 90)",0.4854816876256898
overground,"(33, 56)",0.33597128353155564
overground,"(56, 17)",0.28000417986341775
overground,"(25, 24)",0.11661766833672944
overground,"(105, 85)",0.8095887814689263
overground,"(85, 65)",0.3335961553301945
overground,"(65, 96)",0.46540461084119755
overground,"(96, 50)",0.4846113483893925
overground,"(50, 15)",0.3706747925331057
overground,"(89, 83)",0.30714832870190234
overground,"(83, 81)",0.36107989526622547
overground,"(81, 70)",0.31866746201246177
overground,"(70, 35)",0.34986478212653416
overground,"(35, 59)",0.3177968997480143
overground,"(59, 11)",0.3625440862653757
overground,"(11, 4)",0.3291455835265995
overground,"(95, 79)",0.2552292742431588
overground,"(79, 20)",0.25797493140125677
overground,"(20, 35)",0.1936905587930005
overground,"(105, 36)",0.3569890837136177
overground,"(36, 86)",0.5149813716089175
overground,"(86, 99)",0.5344824705707606
overground,"(99, 61)",0.43290301827315747
overground,"(61, 80)",0.32686901112132044
overground,"(80, 52)",0.481101515812962
overground,"(52, 37)",0.529035856649189
overground,"(37, 40)",0.6118750954449912
overground,"(40, 49)",0.4129309987323823
overground,"(49, 19)",0.7524123712839494
overground,"(19, 8)",0.6340910672970432
overground,"(27, 75)",0.8684610565449812
overground,"(75, 92)",0.8305916119964076
overground,"(92, 91)",0.7649384499482818
overground,"(91, 13)",0.3804059240186907
overground,"(106, 95)",0.11661766833672944
overground,"(95, 109)",0.437865672135601
overground,"(109, 42)",0.7530183397977007
overground,"(42, 12)",0.8467419822450242
overground,"(87, 22)",0.2223719319197768
overground,"(35, 43)",0.11661766833672944
overground,"(3, 64)",0.410665709692131
overground,"(63, 87)",0.6395471955957323
overground,"(90, 23)",0.45555936185054446
overground,"(72, 28)",0.7592633117067992
overground,"(94, 28)",0.7112077379487097
overground,"(5, 29)",0.3746539307708148
overground,"(105, 54)",0.43613452549665066
overground,"(54, 68)",0.48948470393784765
overground,"(68, 51)",0.34348262337029106
overground,"(51, 84)",0.3666917025448572
overground,"(84, 30)",0.8803106968994187
overground,"(0, 74)",0.3622322303138657
overground,"(74, 34)",0.3142382417189575
overground,"(43, 45)",0.341116682356114
overground,"(45, 44)",0.40820789831569454
overground,"(34, 53)",0.5537514726156036
overground,"(4, 60)",0.40213812271501626
overground,"(1, 62)",0.5668606380527018
overground,"(87, 63)",0.6395471955957324
overground,"(53, 71)",0.5760182872544213
overground,"(28, 72)",0.7592633117067992
overground,"(28, 94)",0.7112077379487097
overground,"(8, 100)",0.32079271493652667
overground,"(100, 101)",0.351666231980186
overground,"(62, 98)",0.6587647140610783
