Mode,Segment,Distress
tube,"(191, 255)",0.45173921130948297
tube,"(1, 229)",0.10669693505577695
tube,"(229, 147)",0.12182387530208018
tube,"(147, 38)",0.10144688255349375
tube,"(38, 142)",0.09514123174180995
tube,"(142, 21)",0.14146828369776668
tube,"(21, 222)",0.14751355777647968
tube,"(222, 73)",0.16094984161506087
tube,"(73, 257)",0.10111465170382236
tube,"(257, 210)",0.10225091397341168
tube,"(210, 239)",0.10383279016590993
tube,"(1, 137)",0.11249259905536911
tube,"(137, 149)",0.1050466390845591
tube,"(149, 12)",0.09293104163441035
tube,"(12, 78)",0.08479487596817636
tube,"(78, 127)",0.09136175146247286
tube,"(127, 76)",0.09887410037412488
tube,"(149, 166)",0.12904837342647912
tube,"(166, 5)",0.1199406256704917
tube,"(229, 2)",0.08577882942436528
tube,"(137, 11)",0.11488311532722698
tube,"(11, 212)",0.10233794817996017
tube,"(212, 42)",0.10283686627006043
tube,"(42, 110)",0.10487516067090763
tube,"(110, 226)",0.08936664245751974
tube,"(226, 169)",0.08845334753998622
tube,"(89, 9)",0.11751316298713065
tube,"(259, 215)",0.17009661864384468
tube,"(215, 145)",0.16193440712651866
tube,"(11, 244)",0.13822893240348363
tube,"(168, 216)",0.10504157274135464
tube,"(251, 37)",0.2079670361090466
tube,"(73, 43)",0.0771542855222214
tube,"(266, 189)",0.19615601883754272
tube,"(189, 45)",0.17611421318764728
tube,"(45, 88)",0.14804656381116235
tube,"(257, 90)",0.08010331922261801
tube,"(158, 203)",0.20540559279186932
tube,"(203, 123)",0.30681004635018455
tube,"(123, 99)",0.39093120983820545
tube,"(62, 121)",0.2915381311994472
tube,"(43, 134)",0.07892687140016322
tube,"(37, 156)",0.19411561516263381
tube,"(43, 174)",0.06252251313104526
tube,"(39, 214)",0.3222703287422527
tube,"(5, 127)",0.1536296955698686
tube,"(166, 149)",0.09096403604776819
tube,"(170, 16)",0.17143848505687714
tube,"(40, 44)",1.0
tube,"(2, 137)",0.12737809846233925
tube,"(244, 257)",0.084440766250534
tube,"(229, 1)",0.11869742001069437
tube,"(244, 73)",0.08019151582593995
tube,"(3, 171)",0.32938882225635935
tube,"(171, 155)",0.23135393918764813
tube,"(155, 61)",0.18577177134536138
tube,"(61, 0)",0.19489824963262212
tube,"(81, 8)",0.13267124744693426
tube,"(247, 80)",0.10355784466324192
