,alpha,alpha_rnk,distance,distance_rnk
"(42, 8)",0.017889849795175272,12.0,0.6990291262135924,4.0
"(9, 34)",0.1645172318947502,55.0,0.16019417475728154,71.0
"(9, 26)",0.0923789962906506,39.0,0.19417475728155342,59.0
"(34, 9)",0.1476763848396503,51.0,0.16019417475728154,72.0
"(34, 19)",0.10477259475218659,42.0,0.1796116504854369,66.0
"(26, 9)",0.07424149718881368,34.0,0.19417475728155342,60.0
"(26, 20)",0.1948196244242928,63.0,0.14077669902912623,79.0
"(10, 32)",0.10219633629989522,41.0,0.1990291262135922,58.0
"(10, 29)",0.15096608569369563,52.0,0.17475728155339806,68.0
"(29, 10)",0.27091390189293696,75.0,0.17475728155339806,69.0
"(29, 31)",0.043964990840626994,25.0,0.3203883495145631,30.0
"(11, 20)",0.04589220628442292,28.0,0.2524271844660194,44.0
"(11, 18)",0.26457875850752965,72.0,0.14077669902912623,80.0
"(20, 11)",0.04589220628442292,29.0,0.2524271844660194,45.0
"(20, 26)",0.26457875850752965,73.0,0.14077669902912623,81.0
"(18, 13)",0.03578870445154014,22.0,0.28640776699029125,37.0
"(18, 11)",0.30137555174680686,78.0,0.14077669902912623,82.0
"(13, 16)",0.1423379492784309,50.0,0.262135922330097,41.0
"(13, 18)",0.10913045075289507,43.0,0.28640776699029125,38.0
"(16, 13)",0.07705421727362927,35.0,0.262135922330097,42.0
"(16, 23)",0.18958226982460513,60.0,0.19417475728155342,61.0
"(23, 16)",9.999999999998899e-05,5.0,0.19417475728155342,62.0
"(21, 25)",0.22020085587598204,67.0,0.39805825242718446,15.0
"(21, 44)",0.06216279321734586,32.0,0.6067961165048543,5.0
"(25, 21)",0.1658768715887422,56.0,0.39805825242718446,16.0
"(25, 27)",0.09145919893414178,38.0,0.48543689320388345,11.0
"(44, 21)",9.999999999998899e-05,6.0,0.6067961165048543,6.0
"(24, 43)",0.17375143366295442,57.0,0.3883495145631068,17.0
"(24, 33)",0.08634441200720233,37.0,0.49029126213592233,10.0
"(43, 24)",0.039433647698722374,24.0,0.3883495145631068,18.0
"(43, 28)",0.15694357368977885,53.0,0.2524271844660194,46.0
"(43, 41)",0.2994492622121734,77.0,0.17475728155339806,70.0
"(27, 42)",0.29044851349903034,76.0,0.24757281553398058,48.0
"(27, 25)",0.0385282857641599,23.0,0.48543689320388345,12.0
"(36, 37)",0.409517611211456,87.0,0.1262135922330097,84.0
"(36, 30)",0.015390751712381467,11.0,0.4368932038834952,14.0
"(36, 38)",0.20668279433121217,65.0,0.20873786407766987,55.0
"(39, 33)",9.999999999998899e-05,7.0,0.5388349514563108,8.0
"(38, 36)",9.999999999998899e-05,8.0,0.20873786407766987,56.0
