mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,8,mode
559,513,8.499,32.181,106.787,35.482,19.332,12.395,0.0,DLR
559,523,1.424,1.597,3.686,2.865,2.008,5.182,0.0,DLR
559,533,1.457,6.983,6.536,0.74,1.892,1.44,0.0,DLR
559,538,0.0,0.769,2.401,1.425,1.116,2.113,0.0,DLR
559,573,4.719,23.329,61.542,19.826,11.311,10.53,0.0,DLR
559,719,10.15,52.647,225.056,59.279,34.616,23.013,0.0,DLR
559,749,0.0,3.738,13.681,3.932,4.268,1.175,0.0,DLR
559,750,0.499,0.364,2.886,1.534,0.807,0.0,0.0,DLR
559,757,4.112,17.055,75.137,20.551,8.589,8.851,0.0,DLR
559,842,1.327,2.503,20.67,7.687,4.621,1.598,0.0,DLR
559,851,0.35999998,4.165,2.626,1.061,0.824,0.78,0.0,DLR
559,853,0.0,1.763,4.309,0.951,0.167,0.227,0.0,DLR
559,854,0.0,1.975,2.726,1.062,0.662,0.0,0.0,DLR
559,857,0.44300002,0.154,1.16,0.0,0.004,0.922,0.0,DLR
559,858,2.539,8.651999,34.391,10.486,10.972,3.774,0.0,DLR
559,859,0.0,0.173,0.448,0.561,0.186,0.0,0.0,DLR
559,860,0.378,8.323,17.684,6.644,3.712,3.583,0.0,DLR
559,861,0.107999995,0.91899997,3.244,0.655,0.05,0.588,0.0,DLR
559,862,2.163,5.2539997,12.931,3.86,2.25,0.924,0.0,DLR
559,864,0.436,2.427,12.433,3.472,1.939,0.53,0.0,DLR
559,865,0.448,2.721,8.377,3.098,0.83599997,1.242,0.0,DLR
559,866,0.0,0.235,5.07,3.188,0.694,0.04,0.0,DLR
559,867,0.138,1.1,2.3930001,0.432,0.028,0.228,0.0,DLR
559,879,0.0,1.402,8.499,1.822,1.506,0.549,0.0,DLR
559,882,1.954,3.44,6.914,0.501,0.814,0.026,0.0,DLR
559,883,0.132,1.205,8.464,1.975,1.553,0.73399997,0.0,DLR
559,884,25.025,109.089,391.645,147.594,84.103,31.288,0.115,DLR
559,886,0.0,0.0,1.771,0.884,0.221,0.377,0.0,DLR
559,887,0.0,0.065,0.452,0.734,0.386,0.0,0.0,DLR
559,888,0.13,0.219,1.515,0.724,0.465,0.456,0.0,DLR
559,889,0.673,0.315,4.55,2.683,0.0,0.527,0.0,DLR
559,894,0.0,1.363,2.446,1.074,0.0,0.303,0.0,DLR
559,895,0.0,0.404,3.387,2.184,0.415,0.256,0.0,DLR
559,897,3.335,0.431,2.239,0.064,1.744,0.0,0.0,DLR
559,928,0.077,0.521,1.171,0.345,0.0,0.0,0.0,DLR
559,940,0.31,1.4580001,6.593,0.205,0.809,0.674,0.0,DLR
573,504,26.891,104.491,292.264,82.499,31.949,16.239,0.0,DLR
573,513,131.683,274.747,655.699,314.605,158.987,83.199,0.0,DLR
573,523,24.766,57.438,178.549,93.025,57.453,29.113,0.0,DLR
573,533,64.654,127.222,174.287,59.243,31.566,14.374,0.0,DLR
573,538,13.636,36.192,97.812,57.983,35.607,14.691999,0.0,DLR
573,559,6.7139997,50.52,65.448,26.093,12.28,11.657,0.0,DLR
573,719,189.913,507.159,1207.054,617.801,329.343,128.663,0.0,DLR
573,749,17.233,36.356,77.837,35.773,19.468,16.077,0.0,DLR
573,750,7.652,5.652,26.704,19.82,5.108,2.954,0.0,DLR
573,757,98.274,186.521,432.46,244.888,156.728,69.814,0.0,DLR
573,842,13.479,23.952,55.773,29.591,10.929,4.255,0.0,DLR
573,850,0.39000002,2.89,8.97,3.722,2.879,0.019,0.0,DLR
573,851,6.133,10.329,23.339,9.7,6.626,3.471,0.0,DLR
573,853,3.326,22.629,17.173,5.379,1.649,1.15,0.0,DLR
573,854,0.146,0.505,0.84900004,0.105,0.799,0.0,0.0,DLR
573,855,8.177,4.246,8.211,2.209,2.813,0.75,0.0,DLR
573,856,0.115,0.35,0.0,0.0,0.144,0.12900001,0.0,DLR
573,857,0.0,0.052,0.0,0.0,0.524,0.299,0.0,DLR
573,858,53.853,54.792,175.989,92.714,35.385,9.714,0.0,DLR
573,859,0.705,1.601,3.398,0.91400003,0.039,0.486,0.0,DLR
573,860,39.649,68.728,134.035,66.907,34.954,18.049,0.0,DLR
573,861,0.653,2.783,1.3330001,0.0,1.349,0.508,0.0,DLR
573,862,37.027,41.987,72.599,34.69,13.817,6.605,0.0,DLR
573,864,7.156,14.877,39.493,15.969,9.806,6.584,0.0,DLR
573,865,9.473,26.093,68.405,27.894,17.613,7.448,0.0,DLR
573,866,0.479,4.291,13.236,4.44,3.908,3.856,0.0,DLR
573,867,4.545,4.6089997,6.511,6.452,3.037,0.187,0.0,DLR
573,882,22.616,23.036,22.579,11.13,5.7269998,4.44,0.0,DLR
573,883,14.5199995,23.527,22.446,19.541,8.8810005,4.721,0.0,DLR
573,884,433.661,923.046,2219.45,1104.436,571.199,222.586,0.0,DLR
573,886,5.955,9.006,25.395,14.588,7.762,1.133,0.0,DLR
573,887,2.858,10.498,17.435,3.335,4.372,2.4029999,0.0,DLR
573,888,3.029,10.446,20.443,12.951,3.089,3.437,0.0,DLR
573,889,15.415,11.024,21.249,27.674,6.202,8.375,0.0,DLR
573,890,2.04,4.904,12.179,4.232,3.0,2.072,0.0,DLR
573,891,0.0,1.3199999,4.3849998,2.373,0.851,0.617,0.0,DLR
573,893,1.885,0.838,7.011,2.357,1.013,1.613,0.0,DLR
573,894,1.7310001,1.952,6.674,2.606,2.0770001,0.345,0.0,DLR
573,895,2.011,2.761,19.529,12.79,6.666,6.171,0.0,DLR
573,940,0.0,0.0,0.0,0.0,0.0,0.066999994,0.0,DLR
719,504,22.208,168.767,598.366,400.718,323.278,240.387,0.0,DLR
719,523,11.483,28.576,89.688,73.183,49.473,21.386,0.0,DLR
719,533,21.987,61.291,81.818,39.439,30.025,15.645,0.0,DLR
719,538,21.702,46.2,147.339,122.418,91.986,43.421,0.0,DLR
719,559,19.38,62.218,132.147,91.859,57.981,34.498,0.0,DLR
719,573,116.92,271.145,764.542,557.425,411.269,214.02701,0.0,DLR
719,749,4.296,17.384,78.238,67.082,63.861,78.789,0.0,DLR
719,750,24.714,65.027,265.763,175.27,100.393,101.262,0.0,DLR
719,757,11.9609995,18.996,79.508,52.281,32.61,34.581,0.0,DLR
719,842,42.626,137.353,496.797,304.036,127.351,53.335,0.0,DLR
719,850,12.226,47.104,248.064,191.189,125.574,89.978,0.0,DLR
719,851,19.011,84.966,499.643,349.113,210.296,91.534996,0.0,DLR
719,853,72.987,201.853,813.664,357.998,159.567,106.457,0.0,DLR
719,854,4.151,26.636,93.334,69.878,37.783,8.25,0.0,DLR
719,855,12.93,20.295,27.514,31.886,10.946,8.437,0.0,DLR
719,856,4.3129997,11.721,48.198,36.172,20.901001,6.584,0.0,DLR
719,857,0.461,4.589,37.405,29.576,17.487,4.292,0.0,DLR
719,858,10.972,19.228,111.827,83.002,53.412,40.584,0.0,DLR
719,859,7.213,45.758,93.477,69.796,61.769,47.307,0.0,DLR
719,860,1.1140001,2.793,18.676,10.624,6.406,4.256,0.0,DLR
719,861,11.491,60.419,112.054,74.657,47.147,10.636,0.0,DLR
719,862,2.002,14.498,48.912,30.379,21.411,8.444,0.0,DLR
719,864,0.022,1.176,3.278,0.141,0.59000003,0.348,0.0,DLR
719,865,0.843,7.723,25.245,18.625,14.724,3.884,0.0,DLR
719,866,14.721,42.621,169.636,80.762,36.624,21.376999,0.0,DLR
719,867,13.448,69.474,374.002,344.979,242.47,135.043,0.0,DLR
719,879,10.873,51.737,241.811,93.729,44.48,11.721,0.0,DLR
719,882,2.485,3.34,12.409,9.257,7.148,1.983,0.0,DLR
719,883,1.852,9.224,29.773,22.854,15.751,2.13,0.0,DLR
719,884,6.868,19.265,75.112,48.411,42.61,21.218,0.0,DLR
719,886,0.606,0.543,0.246,0.048,0.0,0.0,0.0,DLR
719,887,0.659,1.297,0.16,0.02,0.0,0.0,0.0,DLR
719,888,0.542,1.461,0.148,0.026,0.0,0.283,0.0,DLR
719,889,38.946,92.293,210.035,229.177,93.796,63.103,0.0,DLR
719,890,0.258,2.084,0.0,0.0,0.0,0.0,0.0,DLR
719,891,0.048,0.02,0.0,0.0,0.0,0.0,0.0,DLR
719,893,0.497,0.587,0.0,0.0,0.0,0.0,0.0,DLR
719,894,0.45499998,1.556,0.0,0.0,0.0,0.0,0.0,DLR
719,895,0.159,0.573,0.014,0.043,0.0,0.23300001,0.0,DLR
719,897,17.562,35.944,101.763,73.854,40.557,15.43,0.0,DLR
719,898,2.219,8.499,33.62,37.878,19.980999,7.525,0.0,DLR
719,928,2.006,9.982,28.862,14.113,8.8810005,1.501,0.0,DLR
719,940,39.978,104.143,336.446,306.813,161.841,49.187,0.0,DLR
749,504,0.0,11.953,71.099,26.014,5.5,2.8830001,0.0,DLR
749,523,0.0,0.0,6.0099998,4.224,3.784,0.0,0.0,DLR
749,533,3.144,8.929,8.969,4.173,1.9779999,0.62,0.0,DLR
749,538,4.2860003,2.236,8.535,4.864,4.8849998,4.93,0.0,DLR
749,559,0.0,4.325,10.349999,6.523,1.519,3.901,0.0,DLR
749,573,5.506,12.379,66.172,30.026001,20.215,14.085,0.0,DLR
749,719,2.71,30.778,79.828,33.736,26.505,10.396,0.0,DLR
749,750,0.0,3.282,14.727,5.341,1.467,0.0,0.0,DLR
749,757,5.585,23.856,123.553,75.16,53.693,14.24,0.0,DLR
749,860,0.0,0.347,2.863,1.591,0.453,0.279,0.0,DLR
749,862,0.0,2.382,4.104,1.54,1.298,5.248,0.0,DLR
749,864,0.0,1.107,3.419,1.083,0.0,0.0,0.0,DLR
749,865,0.679,0.58,5.244,1.087,0.242,0.407,0.0,DLR
749,866,0.0,0.693,2.346,0.277,0.0,0.0,0.0,DLR
749,879,0.0,0.0,1.132,0.625,0.251,0.0,0.0,DLR
749,883,0.0,2.215,3.817,1.826,0.619,0.0,0.0,DLR
749,884,1.365,16.177,76.112,29.581,18.155,12.06,0.0,DLR
749,886,0.0,0.913,5.318,1.654,3.0349998,6.2469997,0.0,DLR
749,887,0.333,2.531,0.974,0.563,1.999,1.581,0.0,DLR
749,888,0.0,1.417,2.078,1.58,0.0,1.874,0.0,DLR
749,889,1.184,7.79,29.18,18.238,8.874,10.407,0.0,DLR
749,890,0.0,0.433,2.557,1.17,0.701,1.06,0.0,DLR
749,893,0.0,0.429,1.22,0.213,3.901,1.4810001,0.0,DLR
749,894,0.0,2.362,1.04,0.732,0.431,1.6589999,0.0,DLR
749,895,0.0,0.396,2.744,0.912,0.184,0.932,0.0,DLR
749,940,0.0,0.284,2.3009999,0.813,0.553,0.0,0.0,DLR
750,504,1.886,21.937,78.92,26.358,10.952,1.979,0.0,DLR
750,523,0.0,2.458,4.879,2.401,0.469,0.86,0.0,DLR
750,533,1.618,1.842,3.09,1.722,0.461,0.9,0.0,DLR
750,538,0.0,0.9,3.1529999,2.368,1.103,0.0,0.0,DLR
750,559,0.0,1.224,3.199,1.418,0.46400002,4.199,0.0,DLR
750,573,8.399,9.5,21.978,11.967999,20.79,7.658,0.0,DLR
750,719,34.5,94.314,324.252,144.649,74.117,38.586,0.0,DLR
750,749,0.0,2.337,9.808,5.433,3.603,4.6089997,0.0,DLR
750,757,11.5720005,23.229,59.69,35.234,17.448,7.578,0.0,DLR
750,860,0.0,0.668,2.769,0.503,1.183,0.0,0.0,DLR
750,865,1.9239999,0.512,3.422,1.829,2.238,0.831,0.0,DLR
750,879,0.0,0.994,2.386,0.232,0.0,0.0,0.0,DLR
750,883,0.0,1.064,4.603,0.736,0.0,0.601,0.0,DLR
750,884,21.653,55.546,126.005,57.288,27.946,16.206,0.0,DLR
750,886,0.0,0.369,0.141,0.971,0.173,0.0,0.0,DLR
750,887,0.0,0.27,0.788,0.14,0.671,0.0,0.0,DLR
750,888,0.0,0.992,0.793,0.624,0.206,0.0,0.0,DLR
750,889,2.287,3.104,9.074,5.737,1.121,1.607,0.0,DLR
750,890,0.0,0.146,0.521,0.0,0.362,2.177,0.0,DLR
750,894,0.0,1.2620001,0.875,0.289,1.088,0.0,0.0,DLR
750,895,0.574,0.014,1.9499999,0.565,1.221,0.0,0.0,DLR
750,940,0.0,1.143,2.416,0.789,0.0,0.0,0.0,DLR
757,504,18.384,99.628,218.199,99.01,56.459,34.112,0.0,DLR
757,523,10.385,15.945,20.527,14.21,8.933,4.522,0.0,DLR
757,533,10.425,24.717001,23.465,11.208,8.918,3.419,0.0,DLR
757,538,9.73,22.075,29.49,23.761,14.7300005,8.386,0.0,DLR
757,559,19.59,36.776,29.321,17.655,8.457,6.171,0.0,DLR
757,573,86.717,154.285,264.003,141.069,102.666,51.775,0.0,DLR
757,719,45.022,99.624,321.132,152.919,77.234,18.31,0.0,DLR
757,749,10.874,28.191,145.984,55.649,30.046,12.614,0.0,DLR
757,750,1.804,20.503,74.51,47.203,31.855,15.917,0.0,DLR
757,850,0.0,0.019000001,0.0,0.018,0.169,0.098,0.0,DLR
757,851,0.0,0.001,0.0,0.812,0.468,0.419,0.0,DLR
757,853,0.0,0.079,0.0,0.252,0.216,0.13499999,0.0,DLR
757,859,0.0,0.033999998,0.0,0.078999996,0.026999999,0.096,0.0,DLR
757,860,0.0,0.0,0.0,0.0,0.0,0.032,0.0,DLR
757,867,0.0,0.0,0.0,0.246,0.111,0.071,0.0,DLR
757,884,2.114,1.485,2.952,1.421,0.952,0.946,0.0,DLR
