mode_mnlc_o,mode_mnlc_d,2,3,4,5,6,7,mode
533,895,0.536,0.776,2.91,2.822,1.137,0.0,DLR
533,897,1.162,3.608,6.907,4.9,5.0889997,0.256,DLR
533,898,1.0139999,2.715,1.916,3.219,2.362,0.371,DLR
533,928,0.04,1.019,2.255,0.373,1.128,0.081,DLR
533,940,0.27,8.625,13.849,19.568,9.041,0.71999997,DLR
538,504,6.288,37.989,38.896,26.871,7.724,1.236,DLR
538,513,54.696,513.589,163.743,136.334,36.131,15.192,DLR
538,523,0.855,21.489,6.848,4.502,2.352,0.28800002,DLR
538,533,7.024,25.062,20.787,13.412,4.866,0.062,DLR
538,559,0.86,2.275,3.788,2.665,0.594,0.883,DLR
538,573,13.7369995,58.67,85.356,86.533,20.49,8.279,DLR
538,719,24.205,215.955,182.276,192.649,57.867,16.04,DLR
538,749,2.949,21.874,13.166,8.253,4.064,2.558,DLR
538,750,0.915,1.283,3.883,4.088,0.092,0.0,DLR
538,757,9.9210005,113.651,57.572,96.506996,16.783,7.022,DLR
538,842,7.222,51.523,20.989,21.344,1.743,0.59,DLR
538,850,0.582,1.412,0.952,3.542,1.25,0.509,DLR
538,851,0.962,1.589,4.984,3.195,0.26,1.693,DLR
538,853,0.0,2.805,4.356,3.363,0.18,0.0,DLR
538,854,1.082,3.264,3.911,1.988,0.781,0.252,DLR
538,855,0.677,16.212,3.514,2.994,0.0,0.0,DLR
538,856,0.0,5.496,2.79,1.327,0.237,0.611,DLR
538,858,7.0379996,69.952,61.637,50.25,18.335,1.1930001,DLR
538,859,0.657,1.456,1.386,1.0649999,0.026,0.0,DLR
538,860,8.71,68.183,22.94,23.813,9.189,3.029,DLR
538,861,1.846,17.339,9.425,4.975,1.015,0.725,DLR
538,862,4.68,12.561,13.53,11.565,2.59,3.386,DLR
538,864,4.048,33.474,11.669,6.42,2.958,0.0,DLR
538,865,2.234,17.312,18.821,9.222,2.888,1.424,DLR
538,866,0.883,6.088,10.483,4.318,1.48,0.0,DLR
538,867,0.0,1.776,2.157,1.515,1.126,0.418,DLR
538,879,0.312,3.598,10.194,1.352,2.384,0.23300001,DLR
538,882,2.541,5.456,7.196,3.175,0.44099998,1.482,DLR
538,883,0.946,8.428,9.986,7.243,1.859,0.378,DLR
538,884,87.607,524.52,429.768,293.516,142.071,35.36,DLR
538,886,0.77599996,3.665,7.478,2.508,2.717,0.502,DLR
538,887,0.0,1.195,1.014,1.798,1.569,0.43800002,DLR
538,888,0.0,1.3100001,2.385,1.218,0.37600002,0.346,DLR
538,889,1.347,6.716,5.808,3.209,0.583,1.8180001,DLR
538,890,0.0,0.0,1.636,1.743,1.755,0.24,DLR
538,893,0.0,3.422,3.706,1.112,0.032,0.983,DLR
538,895,0.438,1.5469999,5.138,3.943,1.35,0.0,DLR
538,897,0.0,2.491,2.681,2.736,0.497,0.662,DLR
538,928,0.174,0.304,0.515,0.203,0.221,0.0,DLR
538,940,1.223,9.196,9.053,6.022,1.516,1.174,DLR
559,504,3.129,20.351,27.313,16.498,5.659,0.994,DLR
559,513,33.929,192.223,98.044,76.827,20.983,7.787,DLR
559,523,0.893,37.263,7.051,5.484,1.896,2.953,DLR
559,533,3.628,15.155,20.149,4.636,5.087,0.0,DLR
559,538,0.421,2.914,4.9110003,2.433,1.222,0.648,DLR
559,573,19.196,31.765,56.866,44.781002,21.845,10.6310005,DLR
559,719,16.271,116.979,143.071,163.491,47.786,9.941,DLR
559,749,0.0,15.518001,16.107,12.222,3.408,1.7310001,DLR
559,750,0.0,3.411,2.252,1.452,0.649,0.61,DLR
559,757,10.6,53.856,60.642,104.233,19.77,10.507,DLR
559,842,2.623,21.641,10.224,9.514,0.802,0.0,DLR
559,850,0.0,0.514,3.072,1.281,0.62200004,0.178,DLR
559,851,0.0,3.779,2.616,1.219,0.59900004,0.516,DLR
559,853,0.0,0.629,4.209,2.975,0.398,0.144,DLR
559,854,0.352,2.161,3.485,0.717,0.451,0.031,DLR
559,855,1.204,8.871,1.677,0.896,0.0,0.0,DLR
559,858,4.292,20.338,29.356,32.21,9.221,1.105,DLR
559,859,0.216,3.146,1.447,0.679,0.0,0.0,DLR
559,860,1.976,31.061,17.131,18.644001,6.014,2.325,DLR
559,861,2.367,7.618,1.952,2.147,0.422,0.273,DLR
559,862,2.688,9.832,9.4140005,8.825,2.655,1.445,DLR
559,864,2.825,9.334,10.581,4.745,1.322,0.64100003,DLR
559,865,2.213,13.35,10.668,6.755,2.228,0.266,DLR
559,866,0.0,1.095,4.751,2.79,2.062,0.057,DLR
559,867,0.699,1.738,1.8,2.527,0.452,1.0929999,DLR
559,879,1.246,1.945,5.326,2.237,1.075,0.098,DLR
559,882,0.667,6.236,4.606,2.11,0.248,0.0,DLR
559,883,0.142,4.857,7.848,2.581,1.779,0.879,DLR
559,884,64.477,238.895,262.706,147.638,71.792,20.999,DLR
559,886,0.0,0.998,3.863,1.551,1.27,1.446,DLR
559,887,0.07,0.057,1.636,0.67,1.154,0.944,DLR
559,888,0.168,0.287,2.261,2.05,0.0,0.274,DLR
559,889,0.0,6.667,6.123,3.803,1.943,0.537,DLR
559,890,0.0,1.299,1.671,1.562,1.391,0.076,DLR
559,893,0.0,1.602,1.776,0.718,0.0,0.0,DLR
559,894,0.245,0.745,2.241,1.916,1.452,0.0,DLR
559,895,0.0,3.0310001,2.457,3.016,2.239,0.286,DLR
559,897,12.566,0.719,3.1959999,1.197,2.025,0.0,DLR
559,928,0.676,1.1,0.234,0.221,0.0,0.0,DLR
559,940,0.38300002,2.084,6.699,7.42,0.997,1.322,DLR
573,504,128.892,285.536,204.146,147.476,43.239,15.7439995,DLR
573,513,497.605,1255.479,681.836,678.621,175.029,70.506,DLR
573,523,83.034,203.91699,169.079,183.636,69.546,31.348999,DLR
573,533,179.886,306.237,228.396,223.302,79.022,22.404,DLR
573,538,36.855,186.545,77.011,76.4,35.453,13.89,DLR
573,559,25.291,88.089,57.394,39.594,18.485,11.353,DLR
573,719,683.097,1509.804,1173.349,1125.046,464.139,132.399,DLR
573,749,77.432,236.203,78.434,69.717,21.51,10.554,DLR
573,750,13.451,20.27,16.843,29.174,6.751,4.311,DLR
573,757,304.038,562.286,343.199,594.0,274.108,84.74,DLR
573,842,44.527,75.95,28.132,41.277,5.606,0.376,DLR
573,850,0.904,7.317,8.894,6.3710003,3.348,0.119,DLR
573,851,28.278,16.162,16.503,14.653,4.539,2.558,DLR
573,853,38.686,54.292,19.116,5.6,0.879,0.35,DLR
573,854,1.163,1.539,0.133,1.021,0.408,0.554,DLR
573,855,9.205,17.662,2.795,1.366,0.0,0.0,DLR
573,856,0.146,0.0,0.0,0.0,0.0,0.0,DLR
573,857,0.167,0.0,0.0,0.293,0.351,0.091,DLR
573,858,149.898,229.392,209.658,218.358,59.078,12.654,DLR
573,859,6.802,8.942,2.008,1.879,0.437,0.574,DLR
573,860,127.002,335.82,141.093,99.008,38.364,18.976,DLR
573,861,5.969,25.645,0.32,2.196,0.27600002,0.41799998,DLR
573,862,126.194,115.286,60.706,74.343,17.081,7.624,DLR
573,864,44.983,116.481,54.194,32.069,5.121,4.314,DLR
573,865,41.48,81.511,67.887,61.147,15.081,6.071,DLR
573,866,5.141,6.492,12.412,6.066,0.774,1.4120001,DLR
573,867,12.145,12.24,4.866,7.946,1.71,0.995,DLR
573,882,37.82,41.809,21.536,12.292,4.691,2.783,DLR
573,883,50.116,87.567,36.408,33.142,8.088,5.064,DLR
573,884,857.97,1460.163,1971.054,1269.644,616.981,236.01,DLR
573,886,9.472,14.753,24.493,24.236,7.6150002,4.659,DLR
573,887,2.506,19.666,31.291,14.184,3.463,3.079,DLR
573,888,9.4210005,24.358,32.983,19.437,5.417,4.65,DLR
573,889,44.678,75.779,17.663,31.06,20.325,7.1800003,DLR
573,890,16.107,26.449,11.003,11.866,5.614,0.493,DLR
573,891,4.098,2.457,4.712,7.06,2.603,1.38,DLR
573,893,2.286,25.007,41.197,8.254,1.551,1.14,DLR
573,894,2.174,9.069,9.495,6.946,4.047,1.944,DLR
573,895,3.833,8.812,15.587,19.175,10.532001,6.159,DLR
719,504,54.878,428.188,548.758,878.385,466.337,310.832,DLR
719,523,38.988,84.71,91.347,132.185,70.717,28.896,DLR
719,533,64.013,147.614,277.775,216.748,62.868,21.405,DLR
719,538,55.068,198.251,127.851,154.352,121.701996,47.157,DLR
719,559,63.326,203.204,114.541,112.706,66.441,32.741,DLR
719,573,485.818,956.061,941.129,1402.252,748.753,326.882,DLR
719,749,11.816,96.639,96.821,128.712,78.57,60.149002,DLR
719,750,67.078,212.003,266.559,329.74,168.067,91.638,DLR
719,757,25.274,36.318,129.728,84.505,43.908,63.421,DLR
719,842,242.102,1343.02,398.025,405.908,87.104004,30.268,DLR
719,850,35.798,140.003,281.008,279.733,152.899,94.937,DLR
719,851,49.812,155.923,312.446,318.498,151.119,64.68,DLR
719,853,218.544,597.968,761.018,605.761,238.97,109.545,DLR
719,854,23.802,132.422,97.189,87.566,35.027,12.608,DLR
719,855,39.618,160.858,25.167,20.819,7.656,8.431,DLR
719,856,13.071,52.66,39.287,40.64,17.217,9.332,DLR
719,857,1.084,17.294,26.818,37.283,16.624,6.445,DLR
719,858,39.614,132.03,222.51,163.877,66.131996,29.251,DLR
719,859,19.329,205.433,97.144,140.558,88.333,58.245,DLR
719,860,10.669,12.652,25.381,0.0,11.886,1.957,DLR
719,861,93.542,625.523,151.252,92.153,33.086,13.814,DLR
719,862,20.306,40.924,97.621,1.285,31.301,7.453,DLR
719,864,2.7189999,2.1430001,9.481,0.15799999,0.941,0.615,DLR
719,865,6.975,12.819,44.071,1.4890001,17.591,4.37,DLR
719,866,57.852,168.237,141.798,94.552,33.16,20.091,DLR
719,867,46.306,221.703,336.512,477.736,248.619,130.146,DLR
